,Origin text,Text after filling,Term frequency,Raw text,Primary organizations
231,"PLA University of Science and Technology(PLA University of Science and Technology,PLA Univ. of Sci. and Technol.,PLA Univ. of Sci. and Tech.),Nanjing,China","PLA University of Science and Technology(PLA University of Science and Technology,PLA Univ. of Sci. and Technol.,PLA Univ. of Sci. and Tech.),Nanjing,China",8386,"{'primary organization': [{'text': 'pla univ. of sci. and technol.', 'start': 82, 'end': 112, 'probability': 0.7970845104951607}, {'text': 'pla university of science and technology', 'start': 41, 'end': 81, 'probability': 0.9732604978346977}, {'text': 'pla univ. of sci. and tech.', 'start': 113, 'end': 140, 'probability': 0.784613674203726}, {'text': 'pla university of science and technology', 'start': 0, 'end': 40, 'probability': 0.9918075700628854}], 'secondary organization': [{'text': 'pla univ. of sci. and technol.', 'start': 82, 'end': 112, 'probability': 0.8523970343228271}, {'text': 'pla university of science and technology', 'start': 41, 'end': 81, 'probability': 0.9641606276691732}, {'text': 'pla univ. of sci. and tech.', 'start': 113, 'end': 140, 'probability': 0.8399530436522085}, {'text': 'pla university of science and technology', 'start': 0, 'end': 40, 'probability': 0.9793647171535582}], 'tertiary organization': [{'text': 'pla univ. of sci. and technol.', 'start': 82, 'end': 112, 'probability': 0.9593111136434516}, {'text': 'pla university of science and technology', 'start': 41, 'end': 81, 'probability': 0.9883474837002311}, {'text': 'pla univ. of sci. and tech.', 'start': 113, 'end': 140, 'probability': 0.9538936423903124}, {'text': 'pla university of science and technology', 'start': 0, 'end': 40, 'probability': 0.9944680673024848}], 'city': [{'text': 'nanjing', 'start': 142, 'end': 149, 'probability': 0.9999747873937892}], 'country': [{'text': 'china', 'start': 150, 'end': 155, 'probability': 0.9999821186830893}]}",pla university of science and technology
232,"Univ Texas Med Branch, Galveston, TX 77555 USA","Univ Texas Med Branch, Galveston, TX 77555 USA",8367,"{'primary organization': [{'text': 'univ texas med branch', 'start': 0, 'end': 21, 'probability': 0.5567400733361865}], 'city': [{'text': 'galveston', 'start': 23, 'end': 32, 'probability': 0.9999793768770644}], 'postal code': [{'text': '77555', 'start': 37, 'end': 42, 'probability': 0.9879308781552574}], 'country': [{'text': 'usa', 'start': 43, 'end': 46, 'probability': 0.9997068828124611}]}",univ texas med branch
233,"Shenzhen University(Shenzhen University),Qingshuihe, Shenzhen,China","Shenzhen University(Shenzhen University),Qingshuihe, Shenzhen,China",8308,"{'primary organization': [{'text': 'shenzhen university', 'start': 0, 'end': 19, 'probability': 0.9620441820861849}, {'text': 'shenzhen university', 'start': 20, 'end': 39, 'probability': 0.9873033699721638}], 'secondary organization': [{'text': 'shenzhen university', 'start': 0, 'end': 19, 'probability': 0.7354356354233857}, {'text': 'shenzhen university', 'start': 20, 'end': 39, 'probability': 0.9844516717022458}], 'tertiary organization': [{'text': 'shenzhen university', 'start': 0, 'end': 19, 'probability': 0.9627517800056609}, {'text': 'shenzhen university', 'start': 20, 'end': 39, 'probability': 0.9934696705826696}], 'city': [{'text': 'shenzhen', 'start': 53, 'end': 61, 'probability': 0.9733636451390097}, {'text': 'qingshuihe', 'start': 41, 'end': 51, 'probability': 0.984038094757679}, {'text': 'shenzhen', 'start': 20, 'end': 28, 'probability': 0.7303708893232397}], 'country': [{'text': 'china', 'start': 62, 'end': 67, 'probability': 0.9999794364840753}]}",shenzhen university
234,"Hebei University(Hebei University),Baoding,China","Hebei University(Hebei University),Baoding,China",8304,"{'primary organization': [{'text': 'hebei university', 'start': 0, 'end': 16, 'probability': 0.9918550906385804}, {'text': 'hebei university', 'start': 17, 'end': 33, 'probability': 0.9854943422538192}], 'secondary organization': [{'text': 'hebei university', 'start': 0, 'end': 16, 'probability': 0.881236122465836}, {'text': 'hebei university', 'start': 17, 'end': 33, 'probability': 0.9579836019364585}], 'tertiary organization': [{'text': 'hebei university', 'start': 0, 'end': 16, 'probability': 0.9811427918581046}, {'text': 'hebei university', 'start': 17, 'end': 33, 'probability': 0.9910274403979713}], 'city': [{'text': 'baoding', 'start': 35, 'end': 42, 'probability': 0.9983236218027862}], 'country': [{'text': 'china', 'start': 43, 'end': 48, 'probability': 0.9999824763026766}]}",hebei university
235,"Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China","Univ Sci & Technol China, Hefei Natl Lab Phys Sci Microscale, Hefei 230026, Anhui, Peoples R China",8286,"{'primary organization': [{'text': 'hefei natl lab phys sci microscale', 'start': 26, 'end': 60, 'probability': 0.4990408411591929}, {'text': 'univ sci & technol china', 'start': 0, 'end': 24, 'probability': 0.6122714917887109}], 'secondary organization': [{'text': 'univ sci & technol china', 'start': 0, 'end': 24, 'probability': 0.7820290235805132}], 'tertiary organization': [{'text': 'hefei natl lab phys sci microscale', 'start': 26, 'end': 60, 'probability': 0.6928244435259501}, {'text': 'univ sci & technol china', 'start': 0, 'end': 24, 'probability': 0.5945866624101939}], 'city': [{'text': 'anhui', 'start': 76, 'end': 81, 'probability': 0.5682027539848917}], 'country': [{'text': 'china', 'start': 93, 'end': 98, 'probability': 0.9999201310489347}, {'text': 'china', 'start': 19, 'end': 24, 'probability': 0.9999538664154386}]}",univ sci & technol china
236,"Univ Fed Rio Grande do Sul, Porto Alegre, RS, Brazil","Univ Fed Rio Grande do Sul, Porto Alegre, RS, Brazil",8238,"{'primary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.9689484566846502}], 'secondary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.9701765229333716}], 'tertiary organization': [{'text': 'univ fed', 'start': 0, 'end': 8, 'probability': 0.8583138663613639}], 'city': [{'text': 'porto alegre', 'start': 28, 'end': 40, 'probability': 0.9969581983466966}], 'country': [{'text': 'brazil', 'start': 46, 'end': 52, 'probability': 0.9999804497457916}]}",univ fed
237,"Donghua University(Donghua University ^),Shanghai,China","Donghua University(Donghua University ^),Shanghai,China",8230,"{'primary organization': [{'text': 'donghua university', 'start': 0, 'end': 18, 'probability': 0.9973147163419682}, {'text': 'donghua university', 'start': 19, 'end': 37, 'probability': 0.9883324658778392}], 'secondary organization': [{'text': 'donghua university', 'start': 0, 'end': 18, 'probability': 0.9870477984220756}, {'text': 'donghua university', 'start': 19, 'end': 37, 'probability': 0.9852938798506372}], 'tertiary organization': [{'text': 'donghua university', 'start': 0, 'end': 18, 'probability': 0.9990460146697586}, {'text': 'donghua university', 'start': 19, 'end': 37, 'probability': 0.9975362690815928}], 'city': [{'text': 'shanghai', 'start': 41, 'end': 49, 'probability': 0.9999776483823624}], 'country': [{'text': 'china', 'start': 50, 'end': 55, 'probability': 0.9999793768803045}]}",donghua university
238,japan atomic energy research institute,japan atomic energy research institute,8196,"{'primary organization': [{'text': 'japan atomic energy research institute', 'start': 0, 'end': 38, 'probability': 0.9977654043666533}], 'secondary organization': [{'text': 'japan atomic energy research institute', 'start': 0, 'end': 38, 'probability': 0.9841691132069883}], 'tertiary organization': [{'text': 'japan atomic energy research institute', 'start': 0, 'end': 38, 'probability': 0.9919145988101263}], 'country': [{'text': 'japan', 'start': 0, 'end': 5, 'probability': 0.9999572637375422}]}",japan atomic energy research institute
239,"Univ Texas SW Med Ctr Dallas, Dallas, TX 75390 USA","Univ Texas SW Med Ctr Dallas, Dallas, TX 75390 USA",8066,"{'tertiary organization': [{'text': 'univ texas sw med', 'start': 0, 'end': 17, 'probability': 0.7444316838695926}], 'city': [{'text': 'dallas', 'start': 30, 'end': 36, 'probability': 0.9963457037098848}, {'text': 'dallas', 'start': 22, 'end': 28, 'probability': 0.9997741077560711}], 'postal code': [{'text': '75390', 'start': 41, 'end': 46, 'probability': 0.9986817285175036}], 'country': [{'text': 'usa', 'start': 47, 'end': 50, 'probability': 0.9996448373917133}]}",NaN
240,"Sinopec(SINOPEC),Beijing,China","Sinopec(SINOPEC),Beijing,China",8023,"{'primary organization': [{'text': 'sinopec', 'start': 0, 'end': 7, 'probability': 0.6158989567636297}, {'text': 'sinopec', 'start': 8, 'end': 15, 'probability': 0.9813642704920511}], 'secondary organization': [{'text': 'sinopec', 'start': 8, 'end': 15, 'probability': 0.9926552050252724}], 'tertiary organization': [{'text': 'sinopec', 'start': 8, 'end': 15, 'probability': 0.9862723071419879}], 'city': [{'text': 'beijing', 'start': 17, 'end': 24, 'probability': 0.9999827147205167}], 'country': [{'text': 'china', 'start': 25, 'end': 30, 'probability': 0.9999804497365403}]}",sinopec
241,"Charite Univ Med Berlin, Berlin, Germany","Charite Univ Med Berlin, Berlin, Germany",8004,"{'primary organization': [{'text': 'charite univ med', 'start': 0, 'end': 16, 'probability': 0.5780547312475477}], 'secondary organization': [{'text': 'charite univ med', 'start': 0, 'end': 16, 'probability': 0.7174094957180444}], 'tertiary organization': [{'text': 'charite univ med', 'start': 0, 'end': 16, 'probability': 0.6417953939698187}], 'city': [{'text': 'berlin', 'start': 17, 'end': 23, 'probability': 0.9997065235897189}, {'text': 'berlin', 'start': 25, 'end': 31, 'probability': 0.9999360451506121}], 'country': [{'text': 'germany', 'start': 33, 'end': 40, 'probability': 0.9999840260015844}]}",charite univ med
242,"All India Inst Med Sci, New Delhi, India","All India Inst Med Sci, New Delhi, India",7980,"{'primary organization': [{'text': 'inst med sci', 'start': 10, 'end': 22, 'probability': 0.6136371000132925}], 'secondary organization': [{'text': 'inst med sci', 'start': 10, 'end': 22, 'probability': 0.5835650601014635}], 'city': [{'text': 'new delhi', 'start': 24, 'end': 33, 'probability': 0.9989841481312993}], 'country': [{'text': 'india', 'start': 4, 'end': 9, 'probability': 0.9994942411020986}, {'text': 'india', 'start': 35, 'end': 40, 'probability': 0.9996441746214373}]}",inst med sci
243,"China Institute of Atomic Energy(China Institute of Atomic Energy,China Inst of Atomic Energy),Beijing,China","China Institute of Atomic Energy(China Institute of Atomic Energy,China Inst of Atomic Energy),Beijing,China",7929,"{'primary organization': [{'text': 'china institute of atomic energy', 'start': 0, 'end': 32, 'probability': 0.927205205760778}], 'secondary organization': [{'text': 'china institute of atomic energy', 'start': 0, 'end': 32, 'probability': 0.9599196425238716}], 'tertiary organization': [{'text': 'china institute of atomic energy', 'start': 0, 'end': 32, 'probability': 0.9422519135099137}], 'city': [{'text': 'beijing', 'start': 95, 'end': 102, 'probability': 0.999987661871323}], 'country': [{'text': 'china', 'start': 0, 'end': 5, 'probability': 0.9982781628923476}, {'text': 'china', 'start': 66, 'end': 71, 'probability': 0.9997775609620128}, {'text': 'china', 'start': 103, 'end': 108, 'probability': 0.9996937015037446}, {'text': 'china', 'start': 33, 'end': 38, 'probability': 0.9991022728600001}]}",china institute of atomic energy
244,"Baylor Coll Med, Dept Mol & Human Genet, Houston, TX 77030 USA","Baylor Coll Med, Dept Mol & Human Genet, Houston, TX 77030 USA",7908,"{'primary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.8900137429551371}], 'secondary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.8665204400977977}], 'tertiary organization': [{'text': 'baylor coll med', 'start': 0, 'end': 15, 'probability': 0.8675739345163898}], 'city': [{'text': 'houston', 'start': 41, 'end': 48, 'probability': 0.9999777675686161}], 'postal code': [{'text': '77030', 'start': 53, 'end': 58, 'probability': 0.9971731825240475}], 'country': [{'text': 'usa', 'start': 59, 'end': 62, 'probability': 0.9995761878189597}]}",baylor coll med
245,"Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China","Chinese Acad Sci, Inst Phys, Beijing 100190, Peoples R China",7878,"{'tertiary organization': [{'text': 'phys', 'start': 23, 'end': 27, 'probability': 0.35668833123683186}], 'city': [{'text': 'beijing', 'start': 29, 'end': 36, 'probability': 0.9999895692101362}], 'country': [{'text': 'china', 'start': 55, 'end': 60, 'probability': 0.9999876022641274}]}",NaN
246,"Max Planck Inst Polymer Res, D-55128 Mainz, Germany","Max Planck Inst Polymer Res, D-55128 Mainz, Germany",7824,"{'primary organization': [{'text': 'inst polymer res', 'start': 11, 'end': 27, 'probability': 0.9081307084501944}], 'secondary organization': [{'text': 'inst polymer res', 'start': 11, 'end': 27, 'probability': 0.7539848623026302}], 'tertiary organization': [{'text': 'inst polymer res', 'start': 11, 'end': 27, 'probability': 0.9369948112311874}], 'city': [{'text': 'mainz', 'start': 37, 'end': 42, 'probability': 0.9999374158075263}], 'postal code': [{'text': 'd-55128', 'start': 29, 'end': 36, 'probability': 0.8379557185555271}], 'country': [{'text': 'germany', 'start': 44, 'end': 51, 'probability': 0.9999822378797205}]}",inst polymer res
247,pontificia universidade catolica de sao paulo,pontificia universityersidade catolica de sao paulo,7811,"{'primary organization': [{'text': 'pontificia universidade catolica de sao paulo', 'start': 0, 'end': 45, 'probability': 0.9991296679326211}], 'secondary organization': [{'text': 'pontificia universidade catolica de sao paulo', 'start': 0, 'end': 45, 'probability': 0.9762148143325717}], 'tertiary organization': [{'text': 'pontificia universidade catolica de sao paulo', 'start': 0, 'end': 45, 'probability': 0.9975483792533737}], 'city': [{'text': 'sao paulo', 'start': 36, 'end': 45, 'probability': 0.994839838373597}]}",pontificia universidade catolica de sao paulo
248,"Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA","Georgia Inst Technol, Sch Mat Sci & Engn, Atlanta, GA 30332 USA",7810,"{'primary organization': [{'text': 'georgia inst technol, sch mat sci & engn', 'start': 0, 'end': 40, 'probability': 0.9502333206165723}], 'secondary organization': [{'text': 'georgia inst technol, sch mat sci & engn', 'start': 0, 'end': 40, 'probability': 0.9146764312230005}], 'tertiary organization': [{'text': 'georgia inst technol, sch mat sci & engn', 'start': 0, 'end': 40, 'probability': 0.9623908482988597}], 'city': [{'text': 'atlanta', 'start': 42, 'end': 49, 'probability': 0.9999807477752398}], 'postal code': [{'text': '30332', 'start': 54, 'end': 59, 'probability': 0.9999232902459312}], 'country': [{'text': 'usa', 'start': 60, 'end': 63, 'probability': 0.9995014350984945}]}","georgia inst technol, sch mat sci & engn"
249,"Dana Farber Canc Inst, Dept Med Oncol, Boston, MA 02115 USA","Dana Farber Canc Inst, Dept Med Oncol, Boston, MA 02115 USA",7776,"{'primary organization': [{'text': 'oncol', 'start': 32, 'end': 37, 'probability': 0.6438474850287648}], 'tertiary organization': [{'text': 'oncol', 'start': 32, 'end': 37, 'probability': 0.9058970740417038}], 'city': [{'text': 'boston', 'start': 39, 'end': 45, 'probability': 0.9999818802674802}], 'postal code': [{'text': '02115', 'start': 50, 'end': 55, 'probability': 0.9994671899435161}], 'country': [{'text': 'usa', 'start': 56, 'end': 59, 'probability': 0.999739299925551}]}",oncol
250,forschungszentrum julich,forschungszentrum julich,7772,"{'primary organization': [{'text': 'forschungszentrum julich', 'start': 0, 'end': 24, 'probability': 0.9989935078980778}], 'secondary organization': [{'text': 'forschungszentrum julich', 'start': 0, 'end': 24, 'probability': 0.9909025528376247}], 'tertiary organization': [{'text': 'forschungszentrum julich', 'start': 0, 'end': 24, 'probability': 0.9988083107654475}]}",forschungszentrum julich
251,"Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Polymer Phys & Chem, Changchun 130022, Peoples R China","Chinese Acad Sci, Changchun Inst Appl Chem, State Key Lab Polymer Phys & Chem, Changchun 130022, Peoples R China",7766,"{'primary organization': [{'text': 'polymer phys & chem', 'start': 58, 'end': 77, 'probability': 0.6267608406329828}], 'secondary organization': [{'text': 'polymer phys & chem', 'start': 58, 'end': 77, 'probability': 0.46671100652945086}], 'tertiary organization': [{'text': 'polymer phys & chem', 'start': 58, 'end': 77, 'probability': 0.6798327140730294}], 'city': [{'text': 'changchun', 'start': 18, 'end': 27, 'probability': 0.9611274641054806}], 'country': [{'text': 'china', 'start': 107, 'end': 112, 'probability': 0.9999812842096567}]}",polymer phys & chem
252,"Dalian Maritime University(Dalian Maritime University),Dalian,China","Dalian Maritime University(Dalian Maritime University),Dalian,China",7720,"{'primary organization': [{'text': 'dalian maritime university', 'start': 0, 'end': 26, 'probability': 0.9968024255211674}, {'text': 'dalian maritime university', 'start': 27, 'end': 53, 'probability': 0.9828588252351622}], 'secondary organization': [{'text': 'dalian maritime university', 'start': 0, 'end': 26, 'probability': 0.9939221186322484}, {'text': 'dalian maritime university', 'start': 27, 'end': 53, 'probability': 0.9863157047218856}], 'tertiary organization': [{'text': 'dalian maritime university', 'start': 0, 'end': 26, 'probability': 0.9978403919425887}, {'text': 'dalian maritime university', 'start': 27, 'end': 53, 'probability': 0.994555379257207}], 'city': [{'text': 'dalian', 'start': 55, 'end': 61, 'probability': 0.9976255911232386}], 'country': [{'text': 'china', 'start': 62, 'end': 67, 'probability': 0.9999809861827273}]}",dalian maritime university
253,"Fermi National Accelerator Laboratory(Fermi National Accelerator Laboratory,Fermi Natl. Accelerator Laboratory,Fermilab),Batavia,United States","Fermi National Accelerator Laboratory(Fermi National Accelerator Laboratory,Fermi Natl. Accelerator Laboratory,Fermilab),Batavia,United States",7702,"{'primary organization': [{'text': 'fermi national accelerator laboratory', 'start': 0, 'end': 37, 'probability': 0.925761408251212}, {'text': 'fermi national accelerator laboratory', 'start': 38, 'end': 75, 'probability': 0.5889390186091603}], 'secondary organization': [{'text': 'fermi national accelerator laboratory', 'start': 0, 'end': 37, 'probability': 0.3943110537420864}], 'tertiary organization': [{'text': 'fermi national accelerator laboratory', 'start': 0, 'end': 37, 'probability': 0.49866196964700293}, {'text': 'fermi national accelerator laboratory', 'start': 38, 'end': 75, 'probability': 0.3940664760064507}], 'city': [{'text': 'batavia', 'start': 121, 'end': 128, 'probability': 0.9999738337312607}], 'country': [{'text': 'united states', 'start': 129, 'end': 142, 'probability': 0.9999643566456484}]}",fermi national accelerator laboratory
254,"Hosp Sick Children, Toronto, ON M5G 1X8, Canada","Hosp Sick Children, Toronto, ON M5G 1X8, Canada",7698,"{'primary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.9963080429535474}], 'secondary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.9778212831723039}], 'tertiary organization': [{'text': 'hosp sick children', 'start': 0, 'end': 18, 'probability': 0.978624910886456}], 'city': [{'text': 'toronto', 'start': 20, 'end': 27, 'probability': 0.9999859333413497}], 'postal code': [{'text': 'm5g 1x8', 'start': 32, 'end': 39, 'probability': 0.9686975256060748}], 'country': [{'text': 'canada', 'start': 41, 'end': 47, 'probability': 0.9999879002889784}]}",hosp sick children
255,"Second Military Medical University(Second Military Medical University),Shanghai,China","Second Military Medical University(Second Military Medical University),Shanghai,China",7696,"{'primary organization': [{'text': 'second military medical university', 'start': 0, 'end': 34, 'probability': 0.9914182922793593}], 'secondary organization': [{'text': 'second military medical university', 'start': 0, 'end': 34, 'probability': 0.9893519489386478}], 'tertiary organization': [{'text': 'second military medical university', 'start': 0, 'end': 34, 'probability': 0.9921917532629863}], 'city': [{'text': 'shanghai', 'start': 71, 'end': 79, 'probability': 0.9999846220597419}], 'country': [{'text': 'china', 'start': 80, 'end': 85, 'probability': 0.9999817610413437}]}",second military medical university
256,To whom correspondence should be addressed,To whom correspondence should be addressed,7692,{},NaN
257,"Chinese Academy of Agricultural Sciences(Chinese Academy of Agricultural Sciences),Beijing,China","Chinese Academy of Agricultural Sciences(Chinese Academy of Agricultural Sciences),Beijing,China",7673,"{'primary organization': [{'text': 'chinese academy of agricultural sciences', 'start': 0, 'end': 40, 'probability': 0.9839201881066764}, {'text': 'chinese academy of agricultural sciences', 'start': 41, 'end': 81, 'probability': 0.7159845768481787}], 'secondary organization': [{'text': 'chinese academy of agricultural sciences', 'start': 0, 'end': 40, 'probability': 0.9682290529032684}, {'text': 'chinese academy of agricultural sciences', 'start': 41, 'end': 81, 'probability': 0.6532220839869325}], 'tertiary organization': [{'text': 'chinese academy of agricultural sciences', 'start': 0, 'end': 40, 'probability': 0.9855990690652199}, {'text': 'chinese academy of agricultural sciences', 'start': 41, 'end': 81, 'probability': 0.8042447070535843}], 'city': [{'text': 'beijing', 'start': 83, 'end': 90, 'probability': 0.9999667408477997}], 'country': [{'text': 'china', 'start': 91, 'end': 96, 'probability': 0.9999814034103984}]}",chinese academy of agricultural sciences
258,",et al.",",et al.",7611,{},NaN
259,"Lawrence Livermore Natl Lab, Livermore, CA 94551 USA","Lawrence Livermore Natl Lab, Livermore, CA 94551 USA",7596,"{'tertiary organization': [{'text': 'natl', 'start': 19, 'end': 23, 'probability': 0.5077344233567516}], 'city': [{'text': 'livermore', 'start': 29, 'end': 38, 'probability': 0.9998505767364421}], 'postal code': [{'text': '94551', 'start': 43, 'end': 48, 'probability': 0.9979069838773285}], 'country': [{'text': 'usa', 'start': 49, 'end': 52, 'probability': 0.9999452238020439}]}",NaN
260,"Air Force Engineering University China(Air Force Engineering University),Xi'an,China","Air Force Engineering University China(Air Force Engineering University),Xi'an,China",7577,"{'primary organization': [{'text': 'air force engineering university', 'start': 0, 'end': 32, 'probability': 0.9804587514587126}], 'secondary organization': [{'text': 'air force engineering university', 'start': 0, 'end': 32, 'probability': 0.9756567703721117}], 'tertiary organization': [{'text': 'air force engineering university', 'start': 0, 'end': 32, 'probability': 0.9844994805877185}, {'text': 'air force engineering university', 'start': 39, 'end': 71, 'probability': 0.7558880498927749}], 'city': [{'text': ""xi'an"", 'start': 73, 'end': 78, 'probability': 0.9998751905608287}], 'country': [{'text': 'china', 'start': 79, 'end': 84, 'probability': 0.9989437586610848}, {'text': 'china', 'start': 33, 'end': 38, 'probability': 0.9999561313598946}]}",air force engineering university
261,"Henry Ford Hlth Syst, Detroit, MI USA","Henry Ford Hlth Syst, Detroit, MI USA",7568,"{'city': [{'text': 'detroit', 'start': 22, 'end': 29, 'probability': 0.9995614653159812}], 'country': [{'text': 'usa', 'start': 34, 'end': 37, 'probability': 0.9999727012410915}]}",NaN
262,merck co,merck co,7560,"{'primary organization': [{'text': 'merck co', 'start': 0, 'end': 8, 'probability': 0.9996925232207658}], 'secondary organization': [{'text': 'merck co', 'start': 0, 'end': 8, 'probability': 0.583650922032497}], 'tertiary organization': [{'text': 'merck co', 'start': 0, 'end': 8, 'probability': 0.992601415465117}]}",merck co
263,"Ministry of Education China(Ministry of Education),Beijing,China","Ministry of Education China(Ministry of Education),Beijing,China",7554,"{'primary organization': [{'text': 'ministry of education', 'start': 28, 'end': 49, 'probability': 0.7518812729595048}, {'text': 'ministry of education', 'start': 0, 'end': 21, 'probability': 0.626632445150193}], 'secondary organization': [{'text': 'ministry of education', 'start': 28, 'end': 49, 'probability': 0.8435023701478883}], 'tertiary organization': [{'text': 'ministry of education', 'start': 28, 'end': 49, 'probability': 0.9345377818966583}], 'city': [{'text': 'beijing', 'start': 51, 'end': 58, 'probability': 0.9999806881723821}], 'country': [{'text': 'china', 'start': 59, 'end': 64, 'probability': 0.9998263164141612}, {'text': 'china', 'start': 22, 'end': 27, 'probability': 0.9999527339163023}]}",ministry of education
264,"Harbin University of Science and Technology(Harbin University of Science and Technology ^),Harbin,China","Harbin University of Science and Technology(Harbin University of Science and Technology ^),Harbin,China",7523,"{'primary organization': [{'text': 'harbin university of science and technology', 'start': 44, 'end': 87, 'probability': 0.967675244684802}, {'text': 'harbin university of science and technology', 'start': 0, 'end': 43, 'probability': 0.9958023825056337}], 'secondary organization': [{'text': 'harbin university of science and technology', 'start': 44, 'end': 87, 'probability': 0.9392765024773553}, {'text': 'harbin university of science and technology', 'start': 0, 'end': 43, 'probability': 0.9729780893324964}], 'tertiary organization': [{'text': 'harbin university of science and technology', 'start': 44, 'end': 87, 'probability': 0.9785430086839852}, {'text': 'harbin university of science and technology', 'start': 0, 'end': 43, 'probability': 0.9961670848934432}], 'city': [{'text': 'harbin', 'start': 91, 'end': 97, 'probability': 0.9969098182629068}], 'country': [{'text': 'china', 'start': 98, 'end': 103, 'probability': 0.9999866485978686}]}",harbin university of science and technology
265,"Physikalisches Institut, University of Bonn, Bonn, Germany.","Physikalisches Institut, University of Bonn, Bonn, Germany.",7517,"{'primary organization': [{'text': 'physikalisches institut', 'start': 0, 'end': 23, 'probability': 0.9715955633059714}], 'secondary organization': [{'text': 'physikalisches institut', 'start': 0, 'end': 23, 'probability': 0.9121586975914866}], 'tertiary organization': [{'text': 'university of bonn', 'start': 25, 'end': 43, 'probability': 0.5975620192922406}, {'text': 'physikalisches institut', 'start': 0, 'end': 23, 'probability': 0.9638136993125457}], 'city': [{'text': 'bonn', 'start': 39, 'end': 43, 'probability': 0.9996687409045144}, {'text': 'bonn', 'start': 45, 'end': 49, 'probability': 0.9999548201107018}], 'country': [{'text': 'germany', 'start': 51, 'end': 58, 'probability': 0.9999840260124238}]}",physikalisches institut
266,"Seoul Natl Univ, Seoul, South Korea","Seoul Natl Univ, Seoul, South Korea",7494,"{'primary organization': [{'text': 'seoul natl univ', 'start': 0, 'end': 15, 'probability': 0.9999002822603629}], 'secondary organization': [{'text': 'seoul natl univ', 'start': 0, 'end': 15, 'probability': 0.9998718525387744}], 'tertiary organization': [{'text': 'seoul natl univ', 'start': 0, 'end': 15, 'probability': 0.999900640157442}], 'city': [{'text': 'seoul', 'start': 17, 'end': 22, 'probability': 0.9999775291584854}], 'country': [{'text': 'south korea', 'start': 24, 'end': 35, 'probability': 0.9999836087668328}]}",seoul natl univ
267,ben gurion university of the negev,ben gurion universityersity of the negev,7491,"{'primary organization': [{'text': 'ben gurion university of the negev', 'start': 0, 'end': 34, 'probability': 0.9630368634753914}], 'secondary organization': [{'text': 'ben gurion university of the negev', 'start': 0, 'end': 34, 'probability': 0.9752365888873449}], 'tertiary organization': [{'text': 'ben gurion university of the negev', 'start': 0, 'end': 34, 'probability': 0.9935948167103135}], 'city': [{'text': 'negev', 'start': 29, 'end': 34, 'probability': 0.8606721733837475}], 'country': [{'text': 'negev', 'start': 29, 'end': 34, 'probability': 0.9008155817377599}]}",ben gurion university of the negev
268,Moscow,Moscow,7486,"{'primary organization': [{'text': 'moscow', 'start': 0, 'end': 6, 'probability': 0.41986581005192036}], 'secondary organization': [{'text': 'moscow', 'start': 0, 'end': 6, 'probability': 0.4675848514230623}], 'city': [{'text': 'moscow', 'start': 0, 'end': 6, 'probability': 0.999821131871947}]}",moscow
269,"Dalian Institute of Chemical Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Dalian,China","Dalian Institute of Chemical Physics Chinese Academy of Sciences(Chinese Academy of Sciences),Dalian,China",7481,"{'primary organization': [{'text': 'chinese academy of sciences', 'start': 37, 'end': 64, 'probability': 0.5563326967188686}, {'text': 'dalian institute of chemical physics', 'start': 0, 'end': 36, 'probability': 0.9462881488662873}], 'secondary organization': [{'text': 'chinese academy of sciences', 'start': 37, 'end': 64, 'probability': 0.35118855174002306}, {'text': 'dalian institute of chemical physics', 'start': 0, 'end': 36, 'probability': 0.8992058415585902}], 'tertiary organization': [{'text': 'chinese academy of sciences', 'start': 65, 'end': 92, 'probability': 0.4026150519564453}, {'text': 'chinese academy of sciences', 'start': 37, 'end': 64, 'probability': 0.6757769842332664}, {'text': 'dalian institute of chemical physics', 'start': 0, 'end': 36, 'probability': 0.9600561081875867}], 'city': [{'text': 'dalian', 'start': 94, 'end': 100, 'probability': 0.9980038194445058}], 'country': [{'text': 'china', 'start': 101, 'end': 106, 'probability': 0.9999753833816172}]}",dalian institute of chemical physics
