,Origin Organizations,Cleaned,Filled,Term Frequency,Primary Organization
545,"university of jinan(jinan university),jinan,china","university of jinan(jinan university),jinan,china","university of jinan(jinan university),jinan,china",4626,university of jinan
546,"university southern calif, los angeles, ca usa","univ southern calif, los angeles, ca usa","university southern calif, los angeles, ca usa",4623,university southern calif
547,"beijing tongren hospital(beijing hospital),beijing,china","beijing tongren hospital(beijing hospital),beijing,china","beijing tongren hospital(beijing hospital),beijing,china",4601,NaN
548,"national university singapore, department elect and comp engineering, singapore 117576, singapore","natl univ singapore, dept elect & comp engn, singapore 117576, singapore","national university singapore, department elect and comp engineering, singapore 117576, singapore",4596,national university
549,"university of wisconsin madison(university of wisconsin-madison),madison,united states","university of wisconsin madison(university of wisconsin-madison),madison,united states","university of wisconsin madison(university of wisconsin-madison),madison,united states",4578,university of wisconsin madison
550,"virginia polytech institute and state university, blacksburg, va 24061 usa","virginia polytech inst & state univ, blacksburg, va 24061 usa","virginia polytech institute and state university, blacksburg, va 24061 usa",4576,virginia polytech institute
551,"huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china","huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china","huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china",4573,fudan university
552,"chinese academy sciences, shanghai institute opt and fine mech, shanghai 201800, peoples r china","chinese acad sci, shanghai inst opt & fine mech, shanghai 201800, peoples r china","chinese academy sciences, shanghai institute opt and fine mech, shanghai 201800, peoples r china",4570,chinese academy sciences
553,"southwest petroleum university china(southwest petroleum university),chengdu,china","southwest petroleum university china(southwest petroleum university),chengdu,china","southwest petroleum university china(southwest petroleum university),chengdu,china",4537,southwest petroleum university
554,"university calif san francisco,san francisco,ca 94143","univ calif san francisco,san francisco,ca 94143","university calif san francisco,san francisco,ca 94143",4530,university calif
555,"second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china","second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china","second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china",4516,second xiangya hospital of central-south university
556,bar ilan university,bar ilan university,bar ilan university,4515,bar ilan university
557,"rutgers state university, piscataway, nj 08855 usa","rutgers state univ, piscataway, nj 08855 usa","rutgers state university, piscataway, nj 08855 usa",4500,rutgers state university
558,"institute high energy physics, protvino, russia","inst high energy phys, protvino, russia","institute high energy physics, protvino, russia",4492,institute high energy physics
559,"suny albany, albany, ny 12222 usa","suny albany, albany, ny 12222 usa","suny albany, albany, ny 12222 usa",4478,suny
560,"research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china","research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china","research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china",4473,research center for eco-environmental sciences
561,"childrens national medicine center, washington, dc 20010 usa","childrens natl med ctr, washington, dc 20010 usa","childrens national medicine center, washington, dc 20010 usa",4470,childrens national medicine center
562,"dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france.","dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france.","dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france.",4469,institut de recherches sur les lois fondamentales de l'univers
563,academy of sciences of the czech republic,academy of sciences of the czech republic,academy of sciences of the czech republic,4467,academy of sciences
564,"chinese academy sciences, institute microelect, beijing 100029, peoples r china","chinese acad sci, inst microelect, beijing 100029, peoples r china","chinese academy sciences, institute microelect, beijing 100029, peoples r china",4466,chinese academy sciences
565,"university hawaii manoa, honolulu, hi 96822 usa","univ hawaii manoa, honolulu, hi 96822 usa","university hawaii manoa, honolulu, hi 96822 usa",4462,NaN
566,"the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong","the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong","the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong",4458,the university of hong kong
567,"polish academy sciences, institute physics, pl-02668 warsaw, poland","polish acad sci, inst phys, pl-02668 warsaw, poland","polish academy sciences, institute physics, pl-02668 warsaw, poland",4458,"polish academy sciences, institute physics"
568,"university nacl colombia, bogota, colombia","univ nacl colombia, bogota, colombia","university nacl colombia, bogota, colombia",4455,university nacl
569,"university tubingen, tubingen, germany","univ tubingen, tubingen, germany","university tubingen, tubingen, germany",4454,university tubingen
570,"horia hulubei national institute physics and nucl engineering, bucharest, romania","horia hulubei natl inst phys & nucl engn, bucharest, romania","horia hulubei national institute physics and nucl engineering, bucharest, romania",4441,horia hulubei national institute physics and nucl engineering
571,"european synchrotron radiat facil, f-38043 grenoble, france","european synchrotron radiat facil, f-38043 grenoble, france","european synchrotron radiat facil, f-38043 grenoble, france",4434,european synchrotron radiat facil
572,the bmj.,the bmj.,the bmj.,4434,bmj
573,"general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research institute for),beijing,china","general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research inst for),beijing,china","general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research institute for),beijing,china",4433,general research institute for nonferrous metals
574,national sun yat sen university,national sun yat sen university,national sun yat sen university,4428,national sun yat sen university
575,"university penn, sch medicine, philadelphia, pa 19104 usa","univ penn, sch med, philadelphia, pa 19104 usa","university penn, sch medicine, philadelphia, pa 19104 usa",4427,NaN
576,"chinese academy sciences, shanghai institute microsyst and informat technology, state key laboratory funct materials informat, shanghai 200050, peoples r china","chinese acad sci, shanghai inst microsyst & informat technol, state key lab funct mat informat, shanghai 200050, peoples r china","chinese academy sciences, shanghai institute microsyst and informat technology, state key laboratory funct materials informat, shanghai 200050, peoples r china",4414,chinese academy sciences
577,"georgia institute technology, george w woodruff sch mech engineering, atlanta, ga 30332 usa","georgia inst technol, george w woodruff sch mech engn, atlanta, ga 30332 usa","georgia institute technology, george w woodruff sch mech engineering, atlanta, ga 30332 usa",4412,georgia institute technology
578,"changsha university of science and technology(changsha university of science and technology),changsha,china","changsha university of science and technology(changsha university of science and technology),changsha,china","changsha university of science and technology(changsha university of science and technology),changsha,china",4410,changsha university of science and technology
579,"nanyang technology university, sch mech and aerosp engineering, singapore 639798, singapore","nanyang technol univ, sch mech & aerosp engn, singapore 639798, singapore","nanyang technology university, sch mech and aerosp engineering, singapore 639798, singapore",4406,nanyang technology university
580,"wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china","wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china","wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china",4400,wuhan university of science and technology
581,"scripps research institute, department chemical, la jolla, ca 92037 usa","scripps res inst, dept chem, la jolla, ca 92037 usa","scripps research institute, department chemical, la jolla, ca 92037 usa",4392,scripps research institute
582,"institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china","institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china","institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china",4391,institute of coal chemistry
583,"university politehn bucuresti, bucharest, romania","univ politehn bucuresti, bucharest, romania","university politehn bucuresti, bucharest, romania",4387,university politehn bucuresti
584,university of jyvaskyla,university of jyvaskyla,university of jyvaskyla,4370,university of jyvaskyla
585,"university roma la sapienza, dipartimento fis, i-00185 rome, italy","univ roma la sapienza, dipartimento fis, i-00185 rome, italy","university roma la sapienza, dipartimento fis, i-00185 rome, italy",4361,university roma
586,"university texas md anderson canc center, department pathol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept pathol, houston, tx 77030 usa","university texas md anderson canc center, department pathol, houston, tx 77030 usa",4361,university texas
587,"university calif berkeley, department astron, berkeley, ca 94720 usa","univ calif berkeley, dept astron, berkeley, ca 94720 usa","university calif berkeley, department astron, berkeley, ca 94720 usa",4358,NaN
588,"capital normal university(capital normal university),beijing,china","capital normal university(capital normal university),beijing,china","capital normal university(capital normal university),beijing,china",4356,capital normal university
589,"institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china","institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china","institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china",4344,institute of automation
590,"henan normal university(henan normal university),xinxiang,china","henan normal university(henan normal university),xinxiang,china","henan normal university(henan normal university),xinxiang,china",4331,henan normal university
591,"thomas jefferson national accelerator facil, newport news, va 23606 usa","thomas jefferson natl accelerator facil, newport news, va 23606 usa","thomas jefferson national accelerator facil, newport news, va 23606 usa",4330,thomas jefferson national accelerator facil
592,"ist sciences san raffaele, i-20132 milan, italy","ist sci san raffaele, i-20132 milan, italy","ist sciences san raffaele, i-20132 milan, italy",4311,ist sciences san raffaele
593,"university iowa hospital and clinic, iowa city, ia 52242 usa","univ iowa hosp & clin, iowa city, ia 52242 usa","university iowa hospital and clinic, iowa city, ia 52242 usa",4303,university iowa hospital and clinic
594,"university brasilia, brasilia, df, brazil","univ brasilia, brasilia, df, brazil","university brasilia, brasilia, df, brazil",4302,university brasilia
595,"medicine college georgia, augusta, ga 30912 usa","med coll georgia, augusta, ga 30912 usa","medicine college georgia, augusta, ga 30912 usa",4301,medicine college georgia
596,"chinese academy sciences, institute semicond, key laboratory semicond materials sciences, beijing 100083, peoples r china","chinese acad sci, inst semicond, key lab semicond mat sci, beijing 100083, peoples r china","chinese academy sciences, institute semicond, key laboratory semicond materials sciences, beijing 100083, peoples r china",4293,chinese academy sciences
597,"loyola university, medicine center, maywood, il 60153 usa","loyola univ, med ctr, maywood, il 60153 usa","loyola university, medicine center, maywood, il 60153 usa",4289,loyola university
598,"university college dublin, dublin, ireland","univ coll dublin, dublin, ireland","university college dublin, dublin, ireland",4288,university college dublin
599,"fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany","fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany","fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany",4287,"fakultät für mathematik und physik,albert-ludwigs-universität"
600,"institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china","institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china","institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china",4281,institute of electronics
601,"university vita salute san raffaele, milan, italy","univ vita salute san raffaele, milan, italy","university vita salute san raffaele, milan, italy",4279,NaN
602,federal university of sao carlos,federal university of sao carlos,federal university of sao carlos,4274,federal university of sao carlos
603,comenius university in bratislava,comenius university in bratislava,comenius university in bratislava,4267,comenius university
604,"wenzhou medical college(wenzhou medical college),wenzhou,china","wenzhou medical college(wenzhou medical college),wenzhou,china","wenzhou medical college(wenzhou medical college),wenzhou,china",4262,wenzhou medical college
605,"scripps research institute, la jolla, ca 92037 usa","scripps res inst, la jolla, ca 92037 usa","scripps research institute, la jolla, ca 92037 usa",4259,scripps research institute
606,"university london imperial college sciences technology and medicine, department chemical, london sw7 2az, england","univ london imperial coll sci technol & med, dept chem, london sw7 2az, england","university london imperial college sciences technology and medicine, department chemical, london sw7 2az, england",4256,imperial college sciences technology and medicine
607,"space telescope sciences institute, 3700 san martin dr, baltimore, md 21218 usa","space telescope sci inst, 3700 san martin dr, baltimore, md 21218 usa","space telescope sciences institute, 3700 san martin dr, baltimore, md 21218 usa",4255,space telescope sciences institute
608,university of wisconsin milwaukee,university of wisconsin milwaukee,university of wisconsin milwaukee,4250,university of wisconsin milwaukee
609,"university calif davis, sacramento, ca 95817 usa","univ calif davis, sacramento, ca 95817 usa","university calif davis, sacramento, ca 95817 usa",4249,NaN
610,"university n carolina, chapel hill, nc 27599 usa","univ n carolina, chapel hill, nc 27599 usa","university n carolina, chapel hill, nc 27599 usa",4249,university n carolina
611,"university calif santa cruz, santa cruz, ca 95064 usa","univ calif santa cruz, santa cruz, ca 95064 usa","university calif santa cruz, santa cruz, ca 95064 usa",4229,NaN
612,"charite, berlin, germany","charite, berlin, germany","charite, berlin, germany",4227,NaN
613,university of science and technology sana a,university of science and technology sana a,university of science and technology sana a,4216,university of science and technology
614,"hospital special surg, 535 e 70th st, new york, ny 10021 usa","hosp special surg, 535 e 70th st, new york, ny 10021 usa","hospital special surg, 535 e 70th st, new york, ny 10021 usa",4215,hospital special surg
615,"university calif davis, department plant sciences, davis, ca 95616 usa","univ calif davis, dept plant sci, davis, ca 95616 usa","university calif davis, department plant sciences, davis, ca 95616 usa",4208,NaN
616,"center addict and mental health, toronto, on, canada","ctr addict & mental hlth, toronto, on, canada","center addict and mental health, toronto, on, canada",4207,center addict and mental health
617,"chinese academy sciences, dalian institute chemical physics, state key laboratory catalysis, dalian 116023, peoples r china","chinese acad sci, dalian inst chem phys, state key lab catalysis, dalian 116023, peoples r china","chinese academy sciences, dalian institute chemical physics, state key laboratory catalysis, dalian 116023, peoples r china",4206,dalian institute
618,"university calif berkeley, department environm sciences policy and management, berkeley, ca 94720 usa","univ calif berkeley, dept environm sci policy & management, berkeley, ca 94720 usa","university calif berkeley, department environm sciences policy and management, berkeley, ca 94720 usa",4201,department environm sciences policy and management
619,"swiss fed institute technology, zurich, switzerland","swiss fed inst technol, zurich, switzerland","swiss fed institute technology, zurich, switzerland",4199,swiss fed institute technology
620,royal dick school of veterinary studies,royal dick school of veterinary studies,royal dick school of veterinary studies,4199,royal dick school of veterinary studies
621,"beijing university chemical technology, state key laboratory organ inorgan composites, beijing 100029, peoples r china","beijing univ chem technol, state key lab organ inorgan composites, beijing 100029, peoples r china","beijing university chemical technology, state key laboratory organ inorgan composites, beijing 100029, peoples r china",4198,beijing university chemical technology
622,pontificia universidade catolica do parana,pontificia universidade catolica do parana,pontificia universidade catolica do parana,4195,pontificia universidade catolica do parana
623,"max planck institute polymer research, ackermannweg 10, d-55128 mainz, germany","max planck inst polymer res, ackermannweg 10, d-55128 mainz, germany","max planck institute polymer research, ackermannweg 10, d-55128 mainz, germany",4192,max planck institute polymer research
624,"university calif san diego, department elect and comp engineering, la jolla, ca 92093 usa","univ calif san diego, dept elect & comp engn, la jolla, ca 92093 usa","university calif san diego, department elect and comp engineering, la jolla, ca 92093 usa",4187,department elect and comp engineering
625,"heilongjiang university(heilongjiang university),harbin,china","heilongjiang university(heilongjiang university),harbin,china","heilongjiang university(heilongjiang university),harbin,china",4183,heilongjiang university
626,"penn state university, department elect engineering, university pk, pa 16802 usa","penn state univ, dept elect engn, university pk, pa 16802 usa","penn state university, department elect engineering, university pk, pa 16802 usa",4182,penn state university
627,"shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china","shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china","shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china",4182,shenyang pharmaceutical university
628,"los alamos national laboratory, div theoret, los alamos, nm 87545 usa","los alamos natl lab, div theoret, los alamos, nm 87545 usa","los alamos national laboratory, div theoret, los alamos, nm 87545 usa",4177,los alamos national laboratory
629,"university sciences and technology china, hefei 230026, peoples r china","univ sci & technol china, hefei 230026, peoples r china","university sciences and technology china, hefei 230026, peoples r china",4173,university sciences and technology
630,"chinese academy agricultural sciences, institute plant protect, state key laboratory biol plant dis and insect pests, beijing 100193, peoples r china","chinese acad agr sci, inst plant protect, state key lab biol plant dis & insect pests, beijing 100193, peoples r china","chinese academy agricultural sciences, institute plant protect, state key laboratory biol plant dis and insect pests, beijing 100193, peoples r china",4173,chinese academy agricultural sciences
631,"ordnance engineering college(ordnance engineering college),shijiazhuang,china","ordnance engineering college(ordnance engineering college),shijiazhuang,china","ordnance engineering college(ordnance engineering college),shijiazhuang,china",4166,ordnance engineering college
632,"thomas jefferson university hospital, philadelphia, pa 19107 usa","thomas jefferson univ hosp, philadelphia, pa 19107 usa","thomas jefferson university hospital, philadelphia, pa 19107 usa",4165,thomas jefferson university hospital
633,organisation for economic co operation and development,organisation for economic co operation and development,organisation for economic co operation and development,4161,organisation for economic co operation and development
634,"max planck institute extraterr physics, d-85748 garching, germany","max planck inst extraterr phys, d-85748 garching, germany","max planck institute extraterr physics, d-85748 garching, germany",4159,max planck institute extraterr physics
635,"shandong normal university(shandong normal university),jinan,china","shandong normal university(shandong normal university),jinan,china","shandong normal university(shandong normal university),jinan,china",4156,shandong normal university
636,"university fed pernambuco, recife, pe, brazil","univ fed pernambuco, recife, pe, brazil","university fed pernambuco, recife, pe, brazil",4149,university fed
637,"university sciences and technology beijing, sch metals and ecol engineering, beijing 100083, peoples r china","univ sci & technol beijing, sch met & ecol engn, beijing 100083, peoples r china","university sciences and technology beijing, sch metals and ecol engineering, beijing 100083, peoples r china",4145,university sciences and technology
638,"hunan normal university(hunan normal university),changsha,china","hunan normal university(hunan normal university),changsha,china","hunan normal university(hunan normal university),changsha,china",4142,hunan normal university
639,"us fda, silver spring, md usa","us fda, silver spring, md usa","us fda, silver spring, md usa",4141,fda
640,"university s florida, h lee moffitt canc center, tampa, fl 33682 usa","univ s florida, h lee moffitt canc ctr, tampa, fl 33682 usa","university s florida, h lee moffitt canc center, tampa, fl 33682 usa",4130,university s
641,"nantong university(nantong university),nantong,china","nantong university(nantong university),nantong,china","nantong university(nantong university),nantong,china",4129,nantong university
642,"northwestern polytech university, state key laboratory solidificat proc, xian 710072, peoples r china","northwestern polytech univ, state key lab solidificat proc, xian 710072, peoples r china","northwestern polytech university, state key laboratory solidificat proc, xian 710072, peoples r china",4119,northwestern polytech university
643,"university texas md anderson canc center, department hematopathol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept hematopathol, houston, tx 77030 usa","university texas md anderson canc center, department hematopathol, houston, tx 77030 usa",4115,NaN
644,universidad autonoma del estado de mexico,universidad autonoma del estado de mexico,universidad autonoma del estado de mexico,4113,universidad autonoma del estado de mexico
645,"mayo clinic and mayo fdn,rochester,mn 55905","mayo clin & mayo fdn,rochester,mn 55905","mayo clinic and mayo fdn,rochester,mn 55905",4106,mayo clinic
646,"shaanxi normal university(shaanxi normal university),xi'an,china","shaanxi normal university(shaanxi normal university),xi'an,china","shaanxi normal university(shaanxi normal university),xi'an,china",4103,shaanxi normal university
647,"max planck institute radioastron, d-53121 bonn, germany","max planck inst radioastron, d-53121 bonn, germany","max planck institute radioastron, d-53121 bonn, germany",4100,max planck institute
648,"university medicine center hamburg eppendorf, hamburg, germany","univ med ctr hamburg eppendorf, hamburg, germany","university medicine center hamburg eppendorf, hamburg, germany",4090,university medicine center hamburg
649,"southwest university of science and technology(southwest university of science and technology),mianyang,china","southwest university of science and technology(southwest university of science and technology),mianyang,china","southwest university of science and technology(southwest university of science and technology),mianyang,china",4087,southwest university of science and technology
650,london.,london.,london.,4086,NaN
651,"charite, d-13353 berlin, germany","charite, d-13353 berlin, germany","charite, d-13353 berlin, germany",4085,NaN
652,"china jiliang university(china jiliang university ^),hangzhou,china","china jiliang university(china jiliang university ^),hangzhou,china","china jiliang university(china jiliang university ^),hangzhou,china",4081,jiliang university
653,"hebei normal university(hebei normal university),shijiazhuang,china","hebei normal university(hebei normal university),shijiazhuang,china","hebei normal university(hebei normal university),shijiazhuang,china",4075,hebei normal university
654,"university calif berkeley,dept chem,berkeley,ca 94720","univ calif berkeley,dept chem,berkeley,ca 94720","university calif berkeley,dept chem,berkeley,ca 94720",4068,NaN
655,"university tehran medicine sciences, tehran, iran","univ tehran med sci, tehran, iran","university tehran medicine sciences, tehran, iran",4067,university tehran medicine sciences
656,"university sciences and technology china, hefei national laboratory physics sciences microscale, hefei 230026, peoples r china","univ sci & technol china, hefei natl lab phys sci microscale, hefei 230026, peoples r china","university sciences and technology china, hefei national laboratory physics sciences microscale, hefei 230026, peoples r china",4060,university sciences and technology
657,"washington hospital center, washington, dc 20010 usa","washington hosp ctr, washington, dc 20010 usa","washington hospital center, washington, dc 20010 usa",4059,NaN
658,"city hope national medicine center, duarte, ca usa","city hope natl med ctr, duarte, ca usa","city hope national medicine center, duarte, ca usa",4057,city hope national medicine center
659,"tokyo womens medicine university, tokyo, japan","tokyo womens med univ, tokyo, japan","tokyo womens medicine university, tokyo, japan",4055,tokyo womens medicine university
660,"chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china","chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china","chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china",4054,chongqing university of posts and telecommunications
661,"university cattolica sacro cuore, rome, italy","univ cattolica sacro cuore, rome, italy","university cattolica sacro cuore, rome, italy",4052,university cattolica sacro cuore
662,"naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china","naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china","naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china",4051,naval aeronautical engineering academy
663,"johns hopkins bloomberg sch publ health, department epidemiol, baltimore, md usa","johns hopkins bloomberg sch publ hlth, dept epidemiol, baltimore, md usa","johns hopkins bloomberg sch publ health, department epidemiol, baltimore, md usa",4040,"publ health, department epidemiol"
664,"tufts medicine center, boston, ma usa","tufts med ctr, boston, ma usa","tufts medicine center, boston, ma usa",4038,tufts medicine center
665,"shandong agricultural university(shandong agricultural university),tainan,china","shandong agricultural university(shandong agricultural university),tainan,china","shandong agricultural university(shandong agricultural university),tainan,china",4035,shandong agricultural university
666,"uniformed serv university health sciences, bethesda, md 20814 usa","uniformed serv univ hlth sci, bethesda, md 20814 usa","uniformed serv university health sciences, bethesda, md 20814 usa",4032,serv university health sciences
667,university of wisconsin,university of wisconsin,university of wisconsin,4028,university of wisconsin
668,"chinese academy sciences, institute high energy physics, beijing, peoples r china","chinese acad sci, inst high energy phys, beijing, peoples r china","chinese academy sciences, institute high energy physics, beijing, peoples r china",4025,institute high energy physics
669,"university calif berkeley, department mol and cell biol, berkeley, ca 94720 usa","univ calif berkeley, dept mol & cell biol, berkeley, ca 94720 usa","university calif berkeley, department mol and cell biol, berkeley, ca 94720 usa",4021,"university calif berkeley, department mol and cell biol"
670,et al,et al,et al,4014,NaN
671,"beijing institute technology, sch mech engineering, beijing 100081, peoples r china","beijing inst technol, sch mech engn, beijing 100081, peoples r china","beijing institute technology, sch mech engineering, beijing 100081, peoples r china",4009,beijing institute technology
672,"princess margaret canc center, toronto, on, canada","princess margaret canc ctr, toronto, on, canada","princess margaret canc center, toronto, on, canada",4004,princess margaret canc center
673,"vrije university brussel, brussels, belgium","vrije univ brussel, brussels, belgium","vrije university brussel, brussels, belgium",4002,vrije university
674,"hannover medicine sch, d-3000 hannover, germany","hannover med sch, d-3000 hannover, germany","hannover medicine sch, d-3000 hannover, germany",4000,hannover medicine sch
675,"carol davila university medicine and pharm, bucharest, romania","carol davila univ med & pharm, bucharest, romania","carol davila university medicine and pharm, bucharest, romania",3997,carol davila university
676,"netherlands canc institute, amsterdam, netherlands","netherlands canc inst, amsterdam, netherlands","netherlands canc institute, amsterdam, netherlands",3995,canc institute
677,"research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china","research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china","research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china",3994,research institute of petroleum exploration and development
678,wroclaw university of technology,wroclaw university of technology,wroclaw university of technology,3993,wroclaw university of technology
679,state university of west parana,state university of west parana,state university of west parana,3993,state university of west parana
680,"laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france","laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france","laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france",3989,laboratoire de physique des particules
681,paris,paris,paris,3988,paris
682,"university zurich hospital, ch-8091 zurich, switzerland","univ zurich hosp, ch-8091 zurich, switzerland","university zurich hospital, ch-8091 zurich, switzerland",3982,university zurich hospital
683,"shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china","shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china","shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china",3976,shaanxi university of science and technology
684,"national university singapore, singapore 117548, singapore","natl univ singapore, singapore 117548, singapore","national university singapore, singapore 117548, singapore",3971,national university
685,vision sciences inc,vision sciences inc,vision sciences inc,3967,vision sciences inc
686,"university fed santa maria, santa maria, rs, brazil","univ fed santa maria, santa maria, rs, brazil","university fed santa maria, santa maria, rs, brazil",3964,university fed
687,university of munster,university of munster,university of munster,3961,university of munster
688,"fujian medical university(fujian medical university),fuzhou,china","fujian medical university(fujian medical university),fuzhou,china","fujian medical university(fujian medical university),fuzhou,china",3961,fujian medical university
689,"university calif san diego, department bioengn, la jolla, ca 92093 usa","univ calif san diego, dept bioengn, la jolla, ca 92093 usa","university calif san diego, department bioengn, la jolla, ca 92093 usa",3959,NaN
690,"chinese academy sciences, changchun institute apply chemical, state key laboratory electroanalyt chemical, changchun 130022, jilin, peoples r china","chinese acad sci, changchun inst appl chem, state key lab electroanalyt chem, changchun 130022, jilin, peoples r china","chinese academy sciences, changchun institute apply chemical, state key laboratory electroanalyt chemical, changchun 130022, jilin, peoples r china",3959,chinese academy sciences
691,"hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china","hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china","hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china",3959,wuhan university
692,"hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china","hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china","hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china",3955,hong kong university of science and technology
693,"national center atmospher research, boulder, co 80307 usa","natl ctr atmospher res, boulder, co 80307 usa","national center atmospher research, boulder, co 80307 usa",3946,national center atmospher research
694,"lensovet technology inst,leningrad,ussr","lensovet technol inst,leningrad,ussr","lensovet technology inst,leningrad,ussr",3943,lensovet technology inst
695,"university calif berkeley, department mech engineering, berkeley, ca 94720 usa","univ calif berkeley, dept mech engn, berkeley, ca 94720 usa","university calif berkeley, department mech engineering, berkeley, ca 94720 usa",3938,NaN
696,"university calif los angeles, department materials sciences and engineering, los angeles, ca 90095 usa","univ calif los angeles, dept mat sci & engn, los angeles, ca 90095 usa","university calif los angeles, department materials sciences and engineering, los angeles, ca 90095 usa",3930,department materials sciences and engineering
697,"university calif berkeley, department materials sciences and engineering, berkeley, ca 94720 usa","univ calif berkeley, dept mat sci & engn, berkeley, ca 94720 usa","university calif berkeley, department materials sciences and engineering, berkeley, ca 94720 usa",3929,department materials sciences and engineering
698,"institut für experimentelle kernphysik, karlsruhe, germany.","institut für experimentelle kernphysik, karlsruhe, germany.","institut für experimentelle kernphysik, karlsruhe, germany.",3923,institut für experimentelle kernphysik
699,"seoul national university hospital, seoul, south korea","seoul natl univ hosp, seoul, south korea","seoul national university hospital, seoul, south korea",3922,seoul national university hospital
700,"shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china","shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china","shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china",3915,shenyang institute of applied ecology
701,jet propulsion laboratory|california institute of technology,jet propulsion laboratory|california institute of technology,jet propulsion laboratory|california institute of technology,3911,jet propulsion laboratory
702,"max planck institute chemical physics solids, d-01187 dresden, germany","max planck inst chem phys solids, d-01187 dresden, germany","max planck institute chemical physics solids, d-01187 dresden, germany",3908,max planck institute chemical physics solids
