Origin Organizations,Cleaned,Filled
"university medicine center groningen, groningen, netherlands","univ med ctr groningen, groningen, netherlands","university medicine center groningen, groningen, netherlands"
"hospital university bellvitge, barcelona, spain","hosp univ bellvitge, barcelona, spain","hospital university bellvitge, barcelona, spain"
et al, et al,et al
"german canc research center, heidelberg, germany","german canc res ctr, heidelberg, germany","german canc research center, heidelberg, germany"
"national institute nat sciences, national institute fus sciences, toki, gifu 5095292, japan","natl inst nat sci, natl inst fus sci, toki, gifu 5095292, japan","national institute nat sciences, national institute fus sciences, toki, gifu 5095292, japan"
"national university def technology, college optoelect sciences and engineering, changsha 410073, hunan, peoples r china","natl univ def technol, coll optoelect sci & engn, changsha 410073, hunan, peoples r china","national university def technology, college optoelect sciences and engineering, changsha 410073, hunan, peoples r china"
"hong kong polytechnic university(hong kong polytechnic university,the hong kong polytechnic university),hong kong,china","hong kong polytechnic university(hong kong polytechnic university,the hong kong polytechnic university),hong kong,china","hong kong polytechnic university(hong kong polytechnic university,the hong kong polytechnic university),hong kong,china"
"slac national accelerator laboratory, menlo pk, ca 94025 usa","slac natl accelerator lab, menlo pk, ca 94025 usa","slac national accelerator laboratory, menlo pk, ca 94025 usa"
"ecole polytech fed lausanne, ch-1015 lausanne, switzerland","ecole polytech fed lausanne, ch-1015 lausanne, switzerland","ecole polytech fed lausanne, ch-1015 lausanne, switzerland"
"xi'an university of engineering science and technology(xi'an university of science and technology),xi an,china","xi'an university of engineering science and technology(xi'an university of science and technology),xi an,china","xi'an university of engineering science and technology(xi'an university of science and technology),xi an,china"
"university libre bruxelles, brussels, belgium","univ libre bruxelles, brussels, belgium","university libre bruxelles, brussels, belgium"
comenius university in bratislava,comenius university in bratislava,comenius university in bratislava
"university wisconsin, department physics, madison, wi 53706 usa","univ wisconsin, dept phys, madison, wi 53706 usa","university wisconsin, department physics, madison, wi 53706 usa"
lebedev physical institute,lebedev physical institute,lebedev physical institute
"university calif berkeley, lawrence berkeley national laboratory, berkeley, ca 94720 usa","univ calif berkeley, lawrence berkeley natl lab, berkeley, ca 94720 usa","university calif berkeley, lawrence berkeley national laboratory, berkeley, ca 94720 usa"
"national institute adv ind sciences and technology, tsukuba, ibaraki 3058568, japan","natl inst adv ind sci & technol, tsukuba, ibaraki 3058568, japan","national institute adv ind sciences and technology, tsukuba, ibaraki 3058568, japan"
"shanghai institute of technical physics chinese academy of sciences(chinese academy of sciences,chinese academy of science),shanghai,china","shanghai institute of technical physics chinese academy of sciences(chinese academy of sciences,chinese academy of science),shanghai,china","shanghai institute of technical physics chinese academy of sciences(chinese academy of sciences,chinese academy of science),shanghai,china"
universidad autonoma de nuevo leon,universidad autonoma de nuevo leon,universidad autonoma de nuevo leon
"university penn, department physics and astron, philadelphia, pa 19104 usa","univ penn, dept phys & astron, philadelphia, pa 19104 usa","university penn, department physics and astron, philadelphia, pa 19104 usa"
"chinese academy of geological sciences(chinese academy of geological sciences,chinese academy of geological sci.,chinese acad. of geological sciences),beijing,china","chinese academy of geological sciences(chinese academy of geological sciences,chinese academy of geological sci.,chinese acad. of geological sciences),beijing,china","chinese academy of geological sciences(chinese academy of geological sciences,chinese academy of geological sci.,chinese acad. of geological sciences),beijing,china"
"suny upstate medicine university, syracuse, ny 13210 usa","suny upstate med univ, syracuse, ny 13210 usa","suny upstate medicine university, syracuse, ny 13210 usa"
"abbott labs, abbott pk, il 60064 usa","abbott labs, abbott pk, il 60064 usa","abbott labs, abbott pk, il 60064 usa"
"w virginia university, morgantown, wv 26506 usa","w virginia univ, morgantown, wv 26506 usa","w virginia university, morgantown, wv 26506 usa"
"lanzhou institute of chemical physics chinese academy of sciences(chinese academy of sciences),lanzhou,china","lanzhou institute of chemical physics chinese academy of sciences(chinese academy of sciences),lanzhou,china","lanzhou institute of chemical physics chinese academy of sciences(chinese academy of sciences),lanzhou,china"
"university of jinan(jinan university),jinan,china","university of jinan(jinan university),jinan,china","university of jinan(jinan university),jinan,china"
"university southern calif, los angeles, ca usa","univ southern calif, los angeles, ca usa","university southern calif, los angeles, ca usa"
"beijing tongren hospital(beijing hospital),beijing,china","beijing tongren hospital(beijing hospital),beijing,china","beijing tongren hospital(beijing hospital),beijing,china"
"national university singapore, department elect and comp engineering, singapore 117576, singapore","natl univ singapore, dept elect & comp engn, singapore 117576, singapore","national university singapore, department elect and comp engineering, singapore 117576, singapore"
"university of wisconsin madison(university of wisconsin-madison),madison,united states","university of wisconsin madison(university of wisconsin-madison),madison,united states","university of wisconsin madison(university of wisconsin-madison),madison,united states"
"virginia polytech institute and state university, blacksburg, va 24061 usa","virginia polytech inst & state univ, blacksburg, va 24061 usa","virginia polytech institute and state university, blacksburg, va 24061 usa"
"huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china","huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china","huashan hospital(huashan hospital,hua shan hospital,fudan university),shanghai,china"
"chinese academy sciences, shanghai institute opt and fine mech, shanghai 201800, peoples r china","chinese acad sci, shanghai inst opt & fine mech, shanghai 201800, peoples r china","chinese academy sciences, shanghai institute opt and fine mech, shanghai 201800, peoples r china"
"southwest petroleum university china(southwest petroleum university),chengdu,china","southwest petroleum university china(southwest petroleum university),chengdu,china","southwest petroleum university china(southwest petroleum university),chengdu,china"
"university calif san francisco,san francisco,ca 94143","univ calif san francisco,san francisco,ca 94143","university calif san francisco,san francisco,ca 94143"
"second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china","second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china","second xiangya hospital of central-south university(second xiangya hospital,central south university),changsha,china"
bar ilan university,bar ilan university,bar ilan university
"rutgers state university, piscataway, nj 08855 usa","rutgers state univ, piscataway, nj 08855 usa","rutgers state university, piscataway, nj 08855 usa"
"institute high energy physics, protvino, russia","inst high energy phys, protvino, russia","institute high energy physics, protvino, russia"
"suny albany, albany, ny 12222 usa","suny albany, albany, ny 12222 usa","suny albany, albany, ny 12222 usa"
"research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china","research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china","research center for eco-environmental sciences chinese academy of sciences(chinese academy of sciences),beijing,china"
"childrens national medicine center, washington, dc 20010 usa","childrens natl med ctr, washington, dc 20010 usa","childrens national medicine center, washington, dc 20010 usa"
"dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france.","dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france.","dsm/irfu (institut de recherches sur les lois fondamentales de l'univers), cea saclay (commissariat à l'energie atomique et aux energies alternatives), gif-sur-yvette, france."
academy of sciences of the czech republic,academy of sciences of the czech republic,academy of sciences of the czech republic
"chinese academy sciences, institute microelect, beijing 100029, peoples r china","chinese acad sci, inst microelect, beijing 100029, peoples r china","chinese academy sciences, institute microelect, beijing 100029, peoples r china"
"university hawaii manoa, honolulu, hi 96822 usa","univ hawaii manoa, honolulu, hi 96822 usa","university hawaii manoa, honolulu, hi 96822 usa"
"the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong","the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong","the university of hong kong(university of hong kong,the university of hong kong),pokfulam,hong kong"
"polish academy sciences, institute physics, pl-02668 warsaw, poland","polish acad sci, inst phys, pl-02668 warsaw, poland","polish academy sciences, institute physics, pl-02668 warsaw, poland"
"university nacl colombia, bogota, colombia","univ nacl colombia, bogota, colombia","university nacl colombia, bogota, colombia"
"university tubingen, tubingen, germany","univ tubingen, tubingen, germany","university tubingen, tubingen, germany"
"horia hulubei national institute physics and nucl engineering, bucharest, romania","horia hulubei natl inst phys & nucl engn, bucharest, romania","horia hulubei national institute physics and nucl engineering, bucharest, romania"
"european synchrotron radiat facil, f-38043 grenoble, france","european synchrotron radiat facil, f-38043 grenoble, france","european synchrotron radiat facil, f-38043 grenoble, france"
the bmj.,the bmj.,the bmj.
"general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research institute for),beijing,china","general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research inst for),beijing,china","general research institute for non-ferrous metals china(general research institute for nonferrous metals,general research institute for),beijing,china"
national sun yat sen university,national sun yat sen university,national sun yat sen university
"university penn, sch medicine, philadelphia, pa 19104 usa","univ penn, sch med, philadelphia, pa 19104 usa","university penn, sch medicine, philadelphia, pa 19104 usa"
"chinese academy sciences, shanghai institute microsyst and informat technology, state key laboratory funct materials informat, shanghai 200050, peoples r china","chinese acad sci, shanghai inst microsyst & informat technol, state key lab funct mat informat, shanghai 200050, peoples r china","chinese academy sciences, shanghai institute microsyst and informat technology, state key laboratory funct materials informat, shanghai 200050, peoples r china"
"georgia institute technology, george w woodruff sch mech engineering, atlanta, ga 30332 usa","georgia inst technol, george w woodruff sch mech engn, atlanta, ga 30332 usa","georgia institute technology, george w woodruff sch mech engineering, atlanta, ga 30332 usa"
"changsha university of science and technology(changsha university of science and technology),changsha,china","changsha university of science and technology(changsha university of science and technology),changsha,china","changsha university of science and technology(changsha university of science and technology),changsha,china"
"nanyang technology university, sch mech and aerosp engineering, singapore 639798, singapore","nanyang technol univ, sch mech & aerosp engn, singapore 639798, singapore","nanyang technology university, sch mech and aerosp engineering, singapore 639798, singapore"
"wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china","wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china","wuhan university of science and technology(wuhan university of science and technology,wuhan university of science and engineering),wuhan,china"
"scripps research institute, department chemical, la jolla, ca 92037 usa","scripps res inst, dept chem, la jolla, ca 92037 usa","scripps research institute, department chemical, la jolla, ca 92037 usa"
"institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china","institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china","institute of coal chemistry chinese academy of sciences(chinese academy of sciences),taiyuan,china"
"university politehn bucuresti, bucharest, romania","univ politehn bucuresti, bucharest, romania","university politehn bucuresti, bucharest, romania"
university of jyvaskyla,university of jyvaskyla,university of jyvaskyla
"university roma la sapienza, dipartimento fis, i-00185 rome, italy","univ roma la sapienza, dipartimento fis, i-00185 rome, italy","university roma la sapienza, dipartimento fis, i-00185 rome, italy"
"university texas md anderson canc center, department pathol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept pathol, houston, tx 77030 usa","university texas md anderson canc center, department pathol, houston, tx 77030 usa"
"university calif berkeley, department astron, berkeley, ca 94720 usa","univ calif berkeley, dept astron, berkeley, ca 94720 usa","university calif berkeley, department astron, berkeley, ca 94720 usa"
"capital normal university(capital normal university),beijing,china","capital normal university(capital normal university),beijing,china","capital normal university(capital normal university),beijing,china"
"institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china","institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china","institute of automation chinese academy of sciences(institute of automation,institute of automation chinese academy of sciences,cas institute of automation),beijing,china"
"henan normal university(henan normal university),xinxiang,china","henan normal university(henan normal university),xinxiang,china","henan normal university(henan normal university),xinxiang,china"
"thomas jefferson national accelerator facil, newport news, va 23606 usa","thomas jefferson natl accelerator facil, newport news, va 23606 usa","thomas jefferson national accelerator facil, newport news, va 23606 usa"
"ist sciences san raffaele, i-20132 milan, italy","ist sci san raffaele, i-20132 milan, italy","ist sciences san raffaele, i-20132 milan, italy"
"university iowa hospital and clinic, iowa city, ia 52242 usa","univ iowa hosp & clin, iowa city, ia 52242 usa","university iowa hospital and clinic, iowa city, ia 52242 usa"
"university brasilia, brasilia, df, brazil","univ brasilia, brasilia, df, brazil","university brasilia, brasilia, df, brazil"
"medicine college georgia, augusta, ga 30912 usa","med coll georgia, augusta, ga 30912 usa","medicine college georgia, augusta, ga 30912 usa"
"chinese academy sciences, institute semicond, key laboratory semicond materials sciences, beijing 100083, peoples r china","chinese acad sci, inst semicond, key lab semicond mat sci, beijing 100083, peoples r china","chinese academy sciences, institute semicond, key laboratory semicond materials sciences, beijing 100083, peoples r china"
"loyola university, medicine center, maywood, il 60153 usa","loyola univ, med ctr, maywood, il 60153 usa","loyola university, medicine center, maywood, il 60153 usa"
"university college dublin, dublin, ireland","univ coll dublin, dublin, ireland","university college dublin, dublin, ireland"
"fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany","fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany","fakultät für mathematik und physik,albert-ludwigs-universität,freiburg,germany"
"institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china","institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china","institute of electronics chinese academy of sciences(institute of electronics,inst. of electronics,inst of electronics),beijing,china"
"university vita salute san raffaele, milan, italy","univ vita salute san raffaele, milan, italy","university vita salute san raffaele, milan, italy"
federal university of sao carlos,federal university of sao carlos,federal university of sao carlos
comenius university in bratislava,comenius university in bratislava,comenius university in bratislava
"wenzhou medical college(wenzhou medical college),wenzhou,china","wenzhou medical college(wenzhou medical college),wenzhou,china","wenzhou medical college(wenzhou medical college),wenzhou,china"
"scripps research institute, la jolla, ca 92037 usa","scripps res inst, la jolla, ca 92037 usa","scripps research institute, la jolla, ca 92037 usa"
"university london imperial college sciences technology and medicine, department chemical, london sw7 2az, england","univ london imperial coll sci technol & med, dept chem, london sw7 2az, england","university london imperial college sciences technology and medicine, department chemical, london sw7 2az, england"
"space telescope sciences institute, 3700 san martin dr, baltimore, md 21218 usa","space telescope sci inst, 3700 san martin dr, baltimore, md 21218 usa","space telescope sciences institute, 3700 san martin dr, baltimore, md 21218 usa"
university of wisconsin milwaukee,university of wisconsin milwaukee,university of wisconsin milwaukee
"university calif davis, sacramento, ca 95817 usa","univ calif davis, sacramento, ca 95817 usa","university calif davis, sacramento, ca 95817 usa"
"university n carolina, chapel hill, nc 27599 usa","univ n carolina, chapel hill, nc 27599 usa","university n carolina, chapel hill, nc 27599 usa"
"university calif santa cruz, santa cruz, ca 95064 usa","univ calif santa cruz, santa cruz, ca 95064 usa","university calif santa cruz, santa cruz, ca 95064 usa"
"charite, berlin, germany","charite, berlin, germany","charite, berlin, germany"
university of science and technology sana a,university of science and technology sana a,university of science and technology sana a
"hospital special surg, 535 e 70th st, new york, ny 10021 usa","hosp special surg, 535 e 70th st, new york, ny 10021 usa","hospital special surg, 535 e 70th st, new york, ny 10021 usa"
"university calif davis, department plant sciences, davis, ca 95616 usa","univ calif davis, dept plant sci, davis, ca 95616 usa","university calif davis, department plant sciences, davis, ca 95616 usa"
"center addict and mental health, toronto, on, canada","ctr addict & mental hlth, toronto, on, canada","center addict and mental health, toronto, on, canada"
"chinese academy sciences, dalian institute chemical physics, state key laboratory catalysis, dalian 116023, peoples r china","chinese acad sci, dalian inst chem phys, state key lab catalysis, dalian 116023, peoples r china","chinese academy sciences, dalian institute chemical physics, state key laboratory catalysis, dalian 116023, peoples r china"
"university calif berkeley, department environm sciences policy and management, berkeley, ca 94720 usa","univ calif berkeley, dept environm sci policy & management, berkeley, ca 94720 usa","university calif berkeley, department environm sciences policy and management, berkeley, ca 94720 usa"
"swiss fed institute technology, zurich, switzerland","swiss fed inst technol, zurich, switzerland","swiss fed institute technology, zurich, switzerland"
royal dick school of veterinary studies,royal dick school of veterinary studies,royal dick school of veterinary studies
"beijing university chemical technology, state key laboratory organ inorgan composites, beijing 100029, peoples r china","beijing univ chem technol, state key lab organ inorgan composites, beijing 100029, peoples r china","beijing university chemical technology, state key laboratory organ inorgan composites, beijing 100029, peoples r china"
pontificia universidade catolica do parana,pontificia universidade catolica do parana,pontificia universidade catolica do parana
"max planck institute polymer research, ackermannweg 10, d-55128 mainz, germany","max planck inst polymer res, ackermannweg 10, d-55128 mainz, germany","max planck institute polymer research, ackermannweg 10, d-55128 mainz, germany"
"university calif san diego, department elect and comp engineering, la jolla, ca 92093 usa","univ calif san diego, dept elect & comp engn, la jolla, ca 92093 usa","university calif san diego, department elect and comp engineering, la jolla, ca 92093 usa"
"heilongjiang university(heilongjiang university),harbin,china","heilongjiang university(heilongjiang university),harbin,china","heilongjiang university(heilongjiang university),harbin,china"
"penn state university, department elect engineering, university pk, pa 16802 usa","penn state univ, dept elect engn, university pk, pa 16802 usa","penn state university, department elect engineering, university pk, pa 16802 usa"
"shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china","shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china","shenyang pharmaceutical university(shenyang pharmaceutical university),shenyang,china"
"los alamos national laboratory, div theoret, los alamos, nm 87545 usa","los alamos natl lab, div theoret, los alamos, nm 87545 usa","los alamos national laboratory, div theoret, los alamos, nm 87545 usa"
"university sciences and technology china, hefei 230026, peoples r china","univ sci & technol china, hefei 230026, peoples r china","university sciences and technology china, hefei 230026, peoples r china"
"chinese academy agricultural sciences, institute plant protect, state key laboratory biol plant dis and insect pests, beijing 100193, peoples r china","chinese acad agr sci, inst plant protect, state key lab biol plant dis & insect pests, beijing 100193, peoples r china","chinese academy agricultural sciences, institute plant protect, state key laboratory biol plant dis and insect pests, beijing 100193, peoples r china"
"ordnance engineering college(ordnance engineering college),shijiazhuang,china","ordnance engineering college(ordnance engineering college),shijiazhuang,china","ordnance engineering college(ordnance engineering college),shijiazhuang,china"
"thomas jefferson university hospital, philadelphia, pa 19107 usa","thomas jefferson univ hosp, philadelphia, pa 19107 usa","thomas jefferson university hospital, philadelphia, pa 19107 usa"
organisation for economic co operation and development,organisation for economic co operation and development,organisation for economic co operation and development
"max planck institute extraterr physics, d-85748 garching, germany","max planck inst extraterr phys, d-85748 garching, germany","max planck institute extraterr physics, d-85748 garching, germany"
"shandong normal university(shandong normal university),jinan,china","shandong normal university(shandong normal university),jinan,china","shandong normal university(shandong normal university),jinan,china"
"university fed pernambuco, recife, pe, brazil","univ fed pernambuco, recife, pe, brazil","university fed pernambuco, recife, pe, brazil"
"university sciences and technology beijing, sch metals and ecol engineering, beijing 100083, peoples r china","univ sci & technol beijing, sch met & ecol engn, beijing 100083, peoples r china","university sciences and technology beijing, sch metals and ecol engineering, beijing 100083, peoples r china"
"hunan normal university(hunan normal university),changsha,china","hunan normal university(hunan normal university),changsha,china","hunan normal university(hunan normal university),changsha,china"
"us fda, silver spring, md usa","us fda, silver spring, md usa","us fda, silver spring, md usa"
"university s florida, h lee moffitt canc center, tampa, fl 33682 usa","univ s florida, h lee moffitt canc ctr, tampa, fl 33682 usa","university s florida, h lee moffitt canc center, tampa, fl 33682 usa"
"nantong university(nantong university),nantong,china","nantong university(nantong university),nantong,china","nantong university(nantong university),nantong,china"
"northwestern polytech university, state key laboratory solidificat proc, xian 710072, peoples r china","northwestern polytech univ, state key lab solidificat proc, xian 710072, peoples r china","northwestern polytech university, state key laboratory solidificat proc, xian 710072, peoples r china"
"university texas md anderson canc center, department hematopathol, houston, tx 77030 usa","univ texas md anderson canc ctr, dept hematopathol, houston, tx 77030 usa","university texas md anderson canc center, department hematopathol, houston, tx 77030 usa"
universidad autonoma del estado de mexico,universidad autonoma del estado de mexico,universidad autonoma del estado de mexico
"mayo clinic and mayo fdn,rochester,mn 55905","mayo clin & mayo fdn,rochester,mn 55905","mayo clinic and mayo fdn,rochester,mn 55905"
"shaanxi normal university(shaanxi normal university),xi'an,china","shaanxi normal university(shaanxi normal university),xi'an,china","shaanxi normal university(shaanxi normal university),xi'an,china"
"max planck institute radioastron, d-53121 bonn, germany","max planck inst radioastron, d-53121 bonn, germany","max planck institute radioastron, d-53121 bonn, germany"
"university medicine center hamburg eppendorf, hamburg, germany","univ med ctr hamburg eppendorf, hamburg, germany","university medicine center hamburg eppendorf, hamburg, germany"
"southwest university of science and technology(southwest university of science and technology),mianyang,china","southwest university of science and technology(southwest university of science and technology),mianyang,china","southwest university of science and technology(southwest university of science and technology),mianyang,china"
london.,london.,london.
"charite, d-13353 berlin, germany","charite, d-13353 berlin, germany","charite, d-13353 berlin, germany"
"china jiliang university(china jiliang university ^),hangzhou,china","china jiliang university(china jiliang university ^),hangzhou,china","china jiliang university(china jiliang university ^),hangzhou,china"
"hebei normal university(hebei normal university),shijiazhuang,china","hebei normal university(hebei normal university),shijiazhuang,china","hebei normal university(hebei normal university),shijiazhuang,china"
"university calif berkeley,dept chem,berkeley,ca 94720","univ calif berkeley,dept chem,berkeley,ca 94720","university calif berkeley,dept chem,berkeley,ca 94720"
"university tehran medicine sciences, tehran, iran","univ tehran med sci, tehran, iran","university tehran medicine sciences, tehran, iran"
"university sciences and technology china, hefei national laboratory physics sciences microscale, hefei 230026, peoples r china","univ sci & technol china, hefei natl lab phys sci microscale, hefei 230026, peoples r china","university sciences and technology china, hefei national laboratory physics sciences microscale, hefei 230026, peoples r china"
"washington hospital center, washington, dc 20010 usa","washington hosp ctr, washington, dc 20010 usa","washington hospital center, washington, dc 20010 usa"
"city hope national medicine center, duarte, ca usa","city hope natl med ctr, duarte, ca usa","city hope national medicine center, duarte, ca usa"
"tokyo womens medicine university, tokyo, japan","tokyo womens med univ, tokyo, japan","tokyo womens medicine university, tokyo, japan"
"chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china","chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china","chongqing university of posts and telecommunications(chongqing university of posts and telecommunications),chongqing,china"
"university cattolica sacro cuore, rome, italy","univ cattolica sacro cuore, rome, italy","university cattolica sacro cuore, rome, italy"
"naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china","naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china","naval aeronautical engineering academy yantai(naval aeronautical engineering institute,naval aeronautical engineering academy),yantai,china"
"johns hopkins bloomberg sch publ health, department epidemiol, baltimore, md usa","johns hopkins bloomberg sch publ hlth, dept epidemiol, baltimore, md usa","johns hopkins bloomberg sch publ health, department epidemiol, baltimore, md usa"
"tufts medicine center, boston, ma usa","tufts med ctr, boston, ma usa","tufts medicine center, boston, ma usa"
"shandong agricultural university(shandong agricultural university),tainan,china","shandong agricultural university(shandong agricultural university),tainan,china","shandong agricultural university(shandong agricultural university),tainan,china"
"uniformed serv university health sciences, bethesda, md 20814 usa","uniformed serv univ hlth sci, bethesda, md 20814 usa","uniformed serv university health sciences, bethesda, md 20814 usa"
university of wisconsin,university of wisconsin,university of wisconsin
"chinese academy sciences, institute high energy physics, beijing, peoples r china","chinese acad sci, inst high energy phys, beijing, peoples r china","chinese academy sciences, institute high energy physics, beijing, peoples r china"
"university calif berkeley, department mol and cell biol, berkeley, ca 94720 usa","univ calif berkeley, dept mol & cell biol, berkeley, ca 94720 usa","university calif berkeley, department mol and cell biol, berkeley, ca 94720 usa"
et al,et al,et al
"beijing institute technology, sch mech engineering, beijing 100081, peoples r china","beijing inst technol, sch mech engn, beijing 100081, peoples r china","beijing institute technology, sch mech engineering, beijing 100081, peoples r china"
"princess margaret canc center, toronto, on, canada","princess margaret canc ctr, toronto, on, canada","princess margaret canc center, toronto, on, canada"
"vrije university brussel, brussels, belgium","vrije univ brussel, brussels, belgium","vrije university brussel, brussels, belgium"
"hannover medicine sch, d-3000 hannover, germany","hannover med sch, d-3000 hannover, germany","hannover medicine sch, d-3000 hannover, germany"
"carol davila university medicine and pharm, bucharest, romania","carol davila univ med & pharm, bucharest, romania","carol davila university medicine and pharm, bucharest, romania"
"netherlands canc institute, amsterdam, netherlands","netherlands canc inst, amsterdam, netherlands","netherlands canc institute, amsterdam, netherlands"
"research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china","research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china","research institute of petroleum exploration and development(research institute of petroleum exploration and development),beijing,china"
wroclaw university of technology,wroclaw university of technology,wroclaw university of technology
state university of west parana,state university of west parana,state university of west parana
"laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france","laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france","laboratoire de physique des particules (lapp), in2p3-cnrs, f-74019 annecy-le-vieux cedex, france"
paris,paris,paris
"university zurich hospital, ch-8091 zurich, switzerland","univ zurich hosp, ch-8091 zurich, switzerland","university zurich hospital, ch-8091 zurich, switzerland"
"shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china","shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china","shaanxi university of science and technology(shaanxi university of science and technology),xinyang,china"
"national university singapore, singapore 117548, singapore","natl univ singapore, singapore 117548, singapore","national university singapore, singapore 117548, singapore"
vision sciences inc,vision sciences inc,vision sciences inc
"university fed santa maria, santa maria, rs, brazil","univ fed santa maria, santa maria, rs, brazil","university fed santa maria, santa maria, rs, brazil"
university of munster,university of munster,university of munster
"fujian medical university(fujian medical university),fuzhou,china","fujian medical university(fujian medical university),fuzhou,china","fujian medical university(fujian medical university),fuzhou,china"
"university calif san diego, department bioengn, la jolla, ca 92093 usa","univ calif san diego, dept bioengn, la jolla, ca 92093 usa","university calif san diego, department bioengn, la jolla, ca 92093 usa"
"chinese academy sciences, changchun institute apply chemical, state key laboratory electroanalyt chemical, changchun 130022, jilin, peoples r china","chinese acad sci, changchun inst appl chem, state key lab electroanalyt chem, changchun 130022, jilin, peoples r china","chinese academy sciences, changchun institute apply chemical, state key laboratory electroanalyt chemical, changchun 130022, jilin, peoples r china"
"hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china","hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china","hubei general hospital(wuhan university,renmin hospital of wuhan university),wuhan,china"
"hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china","hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china","hong kong university of science and technology(hong kong university of science and technology,hong kong univ. of sci. and technol.),hong kong,china"
"national center atmospher research, boulder, co 80307 usa","natl ctr atmospher res, boulder, co 80307 usa","national center atmospher research, boulder, co 80307 usa"
"lensovet technology inst,leningrad,ussr","lensovet technol inst,leningrad,ussr","lensovet technology inst,leningrad,ussr"
"university calif berkeley, department mech engineering, berkeley, ca 94720 usa","univ calif berkeley, dept mech engn, berkeley, ca 94720 usa","university calif berkeley, department mech engineering, berkeley, ca 94720 usa"
"university calif los angeles, department materials sciences and engineering, los angeles, ca 90095 usa","univ calif los angeles, dept mat sci & engn, los angeles, ca 90095 usa","university calif los angeles, department materials sciences and engineering, los angeles, ca 90095 usa"
"university calif berkeley, department materials sciences and engineering, berkeley, ca 94720 usa","univ calif berkeley, dept mat sci & engn, berkeley, ca 94720 usa","university calif berkeley, department materials sciences and engineering, berkeley, ca 94720 usa"
"institut für experimentelle kernphysik, karlsruhe, germany.","institut für experimentelle kernphysik, karlsruhe, germany.","institut für experimentelle kernphysik, karlsruhe, germany."
"seoul national university hospital, seoul, south korea","seoul natl univ hosp, seoul, south korea","seoul national university hospital, seoul, south korea"
"shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china","shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china","shenyang institute of applied ecology chinese academy of sciences(chinese academy of sciences),shenyang,china"
jet propulsion laboratory|california institute of technology,jet propulsion laboratory|california institute of technology,jet propulsion laboratory|california institute of technology
"max planck institute chemical physics solids, d-01187 dresden, germany","max planck inst chem phys solids, d-01187 dresden, germany","max planck institute chemical physics solids, d-01187 dresden, germany"
"university texas md anderson canc center, department biostat, houston, tx 77030 usa","univ texas md anderson canc ctr, dept biostat, houston, tx 77030 usa","university texas md anderson canc center, department biostat, houston, tx 77030 usa"
quaid i azam university,quaid i azam university,quaid i azam university
